id,name,brand,price ,size,abv,type,style,market,country,state,city,taste,body,product_info,image_url
1,Budweiser,Budweiser,$8.99 ,12oz - Pack(6) btls,5.00%,Lager,American-Style Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Clean, Balanced",Light-bodied,"Missouri- American-Style Lager- Brewed and sold since 1876, ""The King of Beers"" is the largest-selling beer in the world. Budweiser has been the world's best-selling beer since 1957, and is distributed in more than 70 countries.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hf0/hbe/11864992317470.png"
2,Budweiser,Budweiser,$23.49 ,12oz - Case(24) cans,5.00%,Lager,American-Style Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Clean, Balanced",Light-bodied,"Missouri- American-Style Lager- Brewed and sold since 1876, ""The King of Beers"" is the largest-selling beer in the world. Budweiser has been the world's best-selling beer since 1957, and is distributed in more than 70 countries.","https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/he9/hd2/11864992088094.png"
3,Bud Light,Bud Light,$8.99 ,12oz - Pack(6) btls,4.20%,Lager,Light Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Balanced",Light-bodied,"Missouri - 4.2% - Light Lager -Bud Light is a light-bodied beer featuring a fresh, clean taste with a subtle hop aroma, delicate malt sweetness and a crisp finish that delivers the ultimate refreshment. 110 calories per 12oz serving.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hd6/h58/11864994840606.png"
4,Bud Light,Bud Light,$23.49 ,12oz - Case(24) cans,4.20%,Lager,Light Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Balanced",Light-bodied,"Missouri - 4.2% - Light Lager -Bud Light is a light-bodied beer featuring a fresh, clean taste with a subtle hop aroma, delicate malt sweetness and a crisp finish that delivers the ultimate refreshment. 110 calories per 12oz serving.","https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/h80/h0a/11864994709534.png"
5,Coors Light,Coors,$8.99 ,12oz - Pack(6) btls,4.20%,Lager,Light Lager,Domestic,United States,Colorado,Golden,"Crisp, Balanced",Light-bodied,Colorado- Light Lager- 4.2% ABV. Coors Light is a natural light lager beer that delivers Rocky Mountain cold refreshment with 4.2% ABV. Light calorie beer at 102 calories and 5g of carbs per 12 fluid ounces.,"https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h44/h82/13639902855198.png"
6,Coors Light,Coors,$23.49 ,12oz - Case(24) cans,4.20%,Lager,Light Lager,Domestic,United States,Colorado,Golden,"Crisp, Balanced",Light-bodied,Colorado- Light Lager- 4.2% ABV. Coors Light is a natural light lager beer that delivers Rocky Mountain cold refreshment with 4.2% ABV. Light calorie beer at 102 calories and 5g of carbs per 12 fluid ounces.,"https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/h8f/h56/15408418062366.png"
7,Michelob Ultra,Michelob,$8.99 ,12oz - Pack(6) btls,4.20%,Lager,Light Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Balanced",Light-bodied,"Missouri- Light Lager- 4.2% ABV. Missouri- Light Lager- 4.2% ABV. Light Lager brewed with Herkules hops and wholesome grains, producing a light citrus aroma and crisp, refreshing finish. Enjoy this light beer!","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h29/hf8/11835385937950.png"
8,Michelob Ultra,Michelob,$24.49 ,12oz - Case(24) cans,4.20%,Lager,Light Lager,Domestic,United States,Missouri,St. Louis,"Crisp, Balanced",Light-bodied,"Missouri- Light Lager- 4.2% ABV. Missouri- Light Lager- 4.2% ABV. Light Lager brewed with Herkules hops and wholesome grains, producing a light citrus aroma and crisp, refreshing finish. Enjoy this light beer!","https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/h0a/h91/11835385839646.png"
9,Miller Lite,Miller,$8.99 ,12oz - Pack(6) btls,4.20%,Lager,Light Lager,Domestic,United States,Wisconsin,Milwaukee,"Crisp, Balanced",Light-bodied,Wisconsin- Light Lager- 4.2% ABV. Miller Lite is the original light beer brewed for more taste with 4.2% ABV. Light calorie beer at only 96 calories with 3.2g of carbs per 12 fl. oz. serving. More taste. Half the carbs of Bud Light.,"https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h3e/h07/11941480759326.png"
10,Miller Lite,Miller,$23.49 ,12oz - Case(24) cans,4.20%,Lager,Light Lager,Domestic,United States,Wisconsin,Milwaukee,"Crisp, Balanced",Light-bodied,Wisconsin- Light Lager- 4.2% ABV. Miller Lite is the original light beer brewed for more taste with 4.2% ABV. Light calorie beer at only 96 calories with 3.2g of carbs per 12 fl. oz. serving. More taste. Half the carbs of Bud Light.,"https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/hec/h2f/11931346927646.png"
11,Shiner Bock,Shiner,$9.99 ,12oz - Pack(6) btls,4.40%,Lager,American Amber/Red Lager,Craft,United States,Texas,Shiner,"Malty, Toasty, Grainy, Sweet",Light-bodied,"Texas- American Amber / Red Lager- 4.4% ABV. This is a distinctive, rich, full-flavored, deep amber-colored beer. It's handcrafted brewing process creates an inviting smooth taste without the excessive bitterness that characterizes many micro, specialty and imported beers.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hc5/hec/8818842140702.png"
12,Shiner Bock,Shiner,$15.99 ,12oz - Pack(12) cans,4.40%,Lager,American Amber/Red Lager,Craft,United States,Texas,Shiner,"Malty, Toasty, Grainy, Sweet",Light-bodied,"Texas- American Amber / Red Lager- 4.4% ABV. This is a distinctive, rich, full-flavored, deep amber-colored beer. It's handcrafted brewing process creates an inviting smooth taste without the excessive bitterness that characterizes many micro, specialty and imported beers.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/hd0/ha8/13607825506334.png"
13,Shiner Light Blonde,Shiner,$10.49 ,12oz - Pack(6) btls,4.20%,Lager,American-Style Lager,Craft,United States,Texas,Shiner,"Crisp, Clean, Balanced",Light-bodied,"Texas- American-Style Lager- Pours a pale straw-yellow color. A light, clean aroma of sweet malts, grains, hay & grass. Taste is soft & smooth with sweet malts, grass, light adjunct grains & very little hops. A crisp, refreshing beer!","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h34/h9b/14174307024926.png"
14,Shiner Light Blonde,Shiner,$15.99 ,12oz - Pack(12) cans,4.20%,Lager,American-Style Lager,Craft,United States,Texas,Shiner,"Crisp, Clean, Balanced",Light-bodied,"Texas- American-Style Lager- Pours a pale straw-yellow color. A light, clean aroma of sweet malts, grains, hay & grass. Taste is soft & smooth with sweet malts, grass, light adjunct grains & very little hops. A crisp, refreshing beer!","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h80/hba/14174310760478.png"
15,Deep Ellum Dallas Blonde,Deep Ellum,$8.99 ,12oz - Pack(6) cans,5.20%,Ale,"Blonde Ale, American Blonde Ale",Craft,United States,Texas,Dallas,"Balanced, Grainy, Citrusy",Light-bodied,"Texas- American Blonde Ale- Pours an orange color with a white head. Aroma is of biscuit malt and a hint of grass, with a subtle hint of orange citrus. On the tongue, toffee, earthy character and biscuit malt notes are apparent with every sip.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h2d/hbb/15949507100702.png"
