id,category,name
1,beers,Budweiser
2,beers,Budweiser
3,beers,Bud Light
4,beers,Bud Light
5,beers,Coors Light
6,beers,Coors Light
7,beers,Michelob Ultra
8,beers,Michelob Ultra
9,beers,Miller Lite
10,beers,Miller Lite
11,beers,Shiner Bock
12,beers,Shiner Bock
13,beers,Shiner Light Blonde
14,beers,Shiner Light Blonde
15,beers,Deep Ellum Dallas Blonde
16,beers,Deep Ellum Dallas Blonde
17,beers,Deep Ellum IPA
18,beers,Deep Ellum IPA
19,beers,Manhattan Project Half Life NE IPA
20,beers,Manhattan Project Necessary Evil
21,beers,Manhattan Project Hoppenheimer West Coast IPA
22,beers,Altstadt Hefeweizen
23,beers,Altstadt Amber
24,beers,Altstadt Kolsch
25,beers,Altstadt Lager
26,beers,Karbach Love Street
27,beers,Karbach Love Street
28,beers,Karbach Hopadillo IPA
29,beers,Dos Equis Lager Especial
30,beers,Dos Equis Lager Especial
31,beers,Pacifico Clara
32,beers,Pacifico Clara
33,beers,Modelo Especial
34,beers,Modelo Especial
35,beers,Asahi Super Dry
36,beers,Asahi Super Dry
37,beers,Sapporo Premium Beer
38,beers,Sapporo Premium Beer
39,beers,Kirin Ichiban
40,wines,"Trefethen Cabernet, 2018"
41,wines,"Rodney Strong Cabernet Sauvignon Reserve, 2015"
42,wines,"Carmen Cabernet Sauvignon Delanz, 2018"
43,wines,"Martin Ray Cabernet Sauvignon Napa , 2018"
44,wines,"Benziger Cabernet Sauvignon Sonoma County, 2018"
45,wines,"Belle Glos Pinot Noir Las Alturas, 2019"
46,wines,"Domaine Drouhin Pinot Noir, 2018"
47,wines,"Elk Cove Pinot Noir Willamette, 2017"
48,wines,"Talbott Pinot Noir Kali Hart , 2018"
49,wines,"Kendall Jackson Pinot Noir Vintner's Reserve, 2019"
50,wines,"Harvey & Harriet Red Paso Robles, 2018"
51,wines,"Invicta By Merus Red Blend Sonoma, 2019"
52,wines,"Leviathan Red Blend California, 2018"
53,wines,"Caiarossa Toscana Pergolaia, 2016"
54,wines,"J. Navascues La Pinada Bobal, 2017"
