id,name,brand,  price   ,size,abv,type,category,style,country,state,taste,product_info,image_url
1,Maker's Mark Bourbon Whiskey,Maker's Mark, $23.99 ,750ml,45.0%,Whiskey/Whisky,Bourbon,Small Batch Bourbon, United States ,Kentucky,"Rich, Caramel, Vanilla, Oak, Balanced","Kentucky- Smooth and approachable with an easy finish, a true contrast to hot, harsh whiskies that ""blow your ears off"" and a downright revolutionary idea at the time. Maker's Mark is made slowly in small batches, in our National Historic Landmark distillery in Loretto, Kentucky.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/ha1/hba/12034965798942.png"
2,Wild Turkey 101,Wild Turkey, $21.49 ,750ml,50.5%,Whiskey/Whisky,Bourbon,Small Batch Bourbon, United States ,Kentucky,,"Wine Enthusiast-Kentucky, USA - ""Corn and waxy honey aroma, with a deep chunk of earthy rye behind it. Not overly sweet in the mouth. This is lean, almost leathery, and leads to a long, strong finish, where a spike of mint appears. Definitely more than the barshot Bourbon it's often relegated to.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h24/h80/17009577295902.png"
3,Woodford Reserve,Woodford Reserve, $28.49 ,750ml,45.2%,Whiskey/Whisky,Bourbon,Small Batch Bourbon, United States ,Kentucky,"Rich, Rye, Toast, Oak, Long","Kentucky- Spicy and forceful taking its flavor from the charred barrels that are used to age this bourbon. Charred oak, toffee, vanilla and pepper are the dominate flavors. A long lasting dry finish. Enjoy neat, with water, or with ice. Gold Medal - San Francisco Spirits Comp 2014","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h2e/hc7/12291779887134.png"
4,Buffalo Trace,Buffalo Trace, $24.99 ,750ml,45.0%,Whiskey/Whisky,Bourbon,Small Batch Bourbon, United States ,Kentucky,"Anise, Dark Fruit, Mint, Sweet, Vanilla","Ancient buffalo carved paths through the wilderness that led American pioneers and explorers to new frontiers. One such trail led to the banks of the Kentucky River where Buffalo Trace Distillery has been making bourbon whiskey the same way for more than 200 years. In tribute to the mighty buffalo and the rugged, independent spirit of the pioneers who followed them, we created our signature Buffalo Trace Kentucky Straight Bourbon Whiskey.",https://products2.imgix.drizly.com/mi-buffalo-trace-bourbon-d25aeb4cf55b74d2.jpeg?auto=format%2Ccompress&ch=Width%2CDPR&fm=jpg&q=20
5,Woodford Reserve Double Oaked Bourbon,Woodford Reserve, $51.99 ,750ml,45.2%,Whiskey/Whisky,Bourbon,Small Batch Bourbon, United States ,Kentucky,,"Kentucky- A smooth, balanced body infused with vanilla, caramel, honey apple and spices at the forefront lead to a creamy midpalate and end with a lingering honey oak finish. Double Gold San Francisco Spirits Competition. Best in Class Gold Medal Whiskies of the World 2016.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h0c/h13/12291697672222.png"
6,Old Forester 1910,Old Forester, $52.99 ,750ml,46.5%,Whiskey/Whisky,Bourbon,Rye, United States ,Kentucky,,"Kentucky- This whiskey is named after a fire in 1910 shut down the bottling line for Old Forester. Tastes of chocolate, spice, and cookies with notes of buttercream and apricot. Smooth and spicy finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h8e/h82/11770062077982.png"
7,Wild Turkey Rye 101,Wild Turkey, $17.99 ,750ml,50.5%,Whiskey/Whisky,Rye,Rye, United States ,Kentucky,,"Kentucky- A legendary 101 proof straight rye whiskey known for its deep golden amber color and warm, smoky flavor with a rich, balanced aroma of vanilla and spice. 101 Rye finishes long and spicy and stands up to any mixer and shines through in a classic cocktail.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h79/h56/16356103553054.png"
8,Rittenhouse Rye,Rittenhouse, $24.99 ,750ml,50.0%,Whiskey/Whisky,Rye,Rye, United States ,Kentucky,,"Wine Enthusiast-Kentucky, USA - ""Think of a sun-drenched meadow: grass, mint, hot rock and flowers, all of it vibrantly warm. The nose is repeated almost exactly in the mouth, with the addition of the sweet-dry wood of the warehouse. The herbal intensity is why rye makes a great Manhattan.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h43/hce/17158805094430.png"
9,Old Forester Rye,Old Forester, $23.99 ,750ml,50.0%,Whiskey/Whisky,Rye,Rye, United States ,Kentucky,,"Kentucky- Naturally ferments because of the high barley content. Notes of brown sugar and magnolia blossom. Tastes of black pepper, cinnamon stick, dried dill, and baked apple. Ends with a dry finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hfe/h47/11635342639134.png"
10,High West Double Rye,High West, $32.99 ,750ml,46.0%,Whiskey/Whisky,Rye,Rye, United States ,Utah,"Rich, Rye, Sweet, Balanced","Utah, USA- Marriage of two straight rye whiskies that combines the feisty properties of a high rye 2-year-old and the saddle smooth richness of a 16-year-old. The extra age and corn provides some extra sweetness to calm the ""bite"" of the younger rye for a relationship that works.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h26/ha0/15408415604766.png"
